file_name	seed	formula_x	formula_y
NA	NA	NA	NA
2022-01-22-20-23_seed_6601.png	6601	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-23_seed_1051.png	1051	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-23_seed_2657.png	2657	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-23_seed_1412.png	1412	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-23_seed_3773.png	3773	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-25_seed_4972.png	4972	runif(3, -3, 30) * x_i^2 - tan(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^2
2022-01-22-20-26_seed_79.png	79	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^2
2022-01-22-20-26_seed_8835.png	8835	runif(1, -1, 30) * x_i^2 - sin(y_i^2)	runif(1, -1, 30) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-26_seed_8706.png	8706	runif(1, -1, 30) * x_i^2 - sin(y_i^2)	runif(1, -1, 30) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-28_seed_9196.png	9196	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-28_seed_8157.png	8157	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-28_seed_8029.png	8029	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-29_seed_5068.png	5068	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-30_seed_7800.png	7800	runif(1, -1, 10) * x_i^2 - sin(y_i^2)	runif(1, -1, 10) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-31_seed_6298.png	6298	runif(1, -1, 30) * x_i^2 - sin(y_i^2)	runif(1, -1, 30) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-31_seed_5895.png	5895	runif(1, -1, 30) * x_i^2 - tan(y_i^2)	runif(1, -1, 30) * y_i^2 - cos(x_i^2) * y_i^4
2022-01-22-20-32_seed_2483.png	2483	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4) * y_i^4
2022-01-22-20-32_seed_4892.png	4892	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-33_seed_2305.png	2305	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-33_seed_4434.png	4434	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-34_seed_9297.png	9297	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-34_seed_4591.png	4591	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-34_seed_3804.png	3804	runif(3, -4, 30) * x_i^2 - sin(y_i^4)	runif(3, -4, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-35_seed_7177.png	7177	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^4
2022-01-22-20-36_seed_4514.png	4514	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^4
2022-01-22-20-36_seed_232.png	232	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^2
2022-01-22-20-37_seed_6350.png	6350	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^2
2022-01-22-20-38_seed_9214.png	9214	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^2
2022-01-22-20-38_seed_1423.png	1423	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4)
2022-01-22-20-39_seed_8142.png	8142	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - sin(x_i^4)
2022-01-22-20-39_seed_1399.png	1399	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - sin(x_i^4)
2022-01-22-20-40_seed_1375.png	1375	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - sin(x_i^4)
2022-01-22-20-41_seed_8257.png	8257	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - sin(x_i^4)
2022-01-22-20-42_seed_7825.png	7825	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^4
2022-01-22-20-42_seed_2567.png	2567	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^2 - cos(x_i^4) * y_i^4
2022-01-22-20-43_seed_3303.png	3303	runif(3, -3, 30) * x_i^2 - sin(y_i^4)	runif(3, -3, 30) * y_i^3 - cos(x_i^4) * y_i^4
2022-01-22-20-44_seed_3217.png	3217	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-44_seed_4995.png	4995	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^4
2022-01-22-20-45_seed_6226.png	6226	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^3
2022-01-22-20-46_seed_4407.png	4407	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^2) * y_i^3
2022-01-22-20-46_seed_6523.png	6523	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^3 - cos(x_i^3) * y_i^4
2022-01-22-20-47_seed_6536.png	6536	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^5 - cos(x_i^2) * y_i^4
2022-01-22-20-47_seed_910.png	910	runif(3, -3, 30) * x_i^2 - sin(y_i^2)	runif(3, -3, 30) * y_i^5 - cos(x_i^2)
2022-01-22-20-48_seed_4961.png	4961	runif(1, -1, 50) * x_i^2 - sin(y_i^2)	runif(1, -1, 50) * y_i^5 - cos(x_i^2)
2022-01-22-20-49_seed_2963.png	2963	runif(1, -1, 50) * x_i^2 - sin(y_i^2)	runif(1, -1, 50) * y_i^5 - cos(x_i^2)
